train_loss,train_acc,val_loss,val_acc,val_auc,val_f1
0.0885221133913215,51.02087634778619,0.06231912767925405,49.57173447537473,0.696001420411062,0.4542294322132097
0.053971028536127424,72.31016288139482,0.03664012819656213,82.3340471092077,0.9314100641021718,0.7208121827411168
0.039909717936028606,83.57421426932783,1.8047349301089055,72.48394004282655,0.6465747889281407,0.4910891089108911
0.038435301825277685,85.1571461344345,0.1348671451115251,81.15631691648822,0.9345019071467494,0.7095709570957096
0.03595265520283199,85.61596696490021,0.03213827200313707,91.22055674518201,0.9569101161430942,0.8056872037914692
0.029199401130778003,89.21771048405597,0.12406791832768688,79.55032119914347,0.8693895293663864,0.6712564543889845
0.03236496682768296,86.0747877953659,0.029700345971982536,85.22483940042827,0.9476529543937845,0.75
0.029503155406115797,87.70360174351916,0.02098217260339786,92.82655246252676,0.977842811924106,0.8607068607068608
0.026714436244967336,89.21771048405597,0.020004157487470538,92.29122055674519,0.9778366894626316,0.854251012145749
0.02623731643132426,89.88300068823125,0.026806106240482606,89.40042826552462,0.9695713664721766,0.8170055452865065
0.02221342182309495,91.74122505161735,0.028585630116038967,94.00428265524626,0.9804938377425261,0.8828451882845189
0.020509542855146754,91.90181234228034,0.01556740912590854,94.21841541755889,0.9860469102998168,0.8851063829787233
0.020874150149929303,91.42005047029136,0.02599046904218784,91.7558886509636,0.9627631893126313,0.8351177730192719
0.022809122632022408,92.2688690066529,0.018006622328620395,93.57601713062098,0.9811550635817624,0.8765432098765432
0.03594235633270241,86.23537508602891,0.03007976916804112,86.0813704496788,0.9456080522613312,0.7509578544061303
0.031850481241767106,85.7994952970865,0.027891891962615274,86.61670235546039,0.9481152002351025,0.7514910536779325
0.026573258163469404,90.45652672631337,0.08426529354748877,85.97430406852249,0.9481917310035326,0.774526678141136
0.04017820829035465,86.78596008258775,0.043380216434119344,84.68950749464668,0.9119467590750184,0.7190569744597249
0.039065091170577396,83.75774260151411,0.02797801480718292,85.97430406852249,0.9512896965095847,0.7532956685499058
0.03129078819065855,87.772424868089,0.021154983922424358,90.68522483940043,0.9749223978008119,0.8290766208251473
0.02561551346318605,89.81417756366139,0.02205083639275211,90.57815845824412,0.9694672846271115,0.828125
0.02112461575423394,91.30534526267492,0.01672096205057628,92.29122055674519,0.9822387392627332,0.8571428571428571
